title,author
Foreword.,Frédéric Cuppens
Foreword.,Hervé Debar
Mathematical Programming Approach to multiattribute Decision Making under Intuitionistic Fuzzy Environments.,Yong-Chun Wang
Evolved attitudes to idiosyncratic and aggregate risk in age-structured populations.,Larry Samuelson
Self-assembly of strings and languages.,György Vaszil
Self-assembly of strings and languages.,Ion Petre
A cognitive pyramid for contextual classification of remote sensing images.,Ignazio Gallo
A cognitive pyramid for contextual classification of remote sensing images.,Monica Pepe
Newton-GMRES Preconditioning for Discontinuous Galerkin Discretizations of the Navier--Stokes Equations.,Per-Olof Persson
Fusion of Moderate Resolution Earth Observations for Operational Crop Type Mapping.,David Johnson
Fusion of Moderate Resolution Earth Observations for Operational Crop Type Mapping.,Jeff Masek
Fusion of Moderate Resolution Earth Observations for Operational Crop Type Mapping.,Michele Reba
Fusion of Moderate Resolution Earth Observations for Operational Crop Type Mapping.,Nathan Torbick
Fusion of Moderate Resolution Earth Observations for Operational Crop Type Mapping.,Xiaodong Huang 0004
Independent vector analysis for convolutive blind noncircular source separation.,Liping Li
Independent vector analysis for convolutive blind noncircular source separation.,Wanchun Li
Success Probability in Random Distance Bipolar Wireless Networks.,Wei Liu 0089
Success Probability in Random Distance Bipolar Wireless Networks.,Wenxiao Shi
Success Probability in Random Distance Bipolar Wireless Networks.,Yan Zhao 0025
Executable specification of open multi-agent systems.,Marek J. Sergot
Error probability of bit-interleaved coded modulation in wireless environments.,Salam A. Zummo
Error probability of bit-interleaved coded modulation in wireless environments.,Wayne E. Stark
Automated Planning and Scheduling for Goal-Based Autonomous Spacecraft.,Gregg Rabideau
Automated Planning and Scheduling for Goal-Based Autonomous Spacecraft.,Kanna Rajan
Automated Planning and Scheduling for Goal-Based Autonomous Spacecraft.,Nicola Muscettola
Automated Planning and Scheduling for Goal-Based Autonomous Spacecraft.,Steve A. Chien
A second infinite family of Steiner triple systems without almost parallel classes.,Darryn E. Bryant
Refining Problem-Solving Knowledge in Repertory Grids Using a Consultation Mechanism.,John H. Boose
Institutional Ethnography: A Holistic Approach to Understanding Systems.,Ursula T. Wright
SDF-RVD: Restricted Voronoi Diagram on Signed Distance Field.,Chen Zong
SDF-RVD: Restricted Voronoi Diagram on Signed Distance Field.,Guozhu Liu
SDF-RVD: Restricted Voronoi Diagram on Signed Distance Field.,Pengfei Wang
SDF-RVD: Restricted Voronoi Diagram on Signed Distance Field.,Shiqing Xin
SDF-RVD: Restricted Voronoi Diagram on Signed Distance Field.,Shuang-Min Chen
SDF-RVD: Restricted Voronoi Diagram on Signed Distance Field.,Wenjuan Hou
