title,year,pages,key_words,abstract,DOI,type
Two-stage Robust Network Design with Exponential Scenarios.,2013.0,25,Computer Architecture|MLOps|Languages & Compilers|Operating Systems|Indexing|Big Data|Mathematics for Computer Science|Hardware|Data Science|Databases|Machine Learning|Data Modeling,Two-stage Robust Network Design with Exponential Scenarios.,journals/algorithmica/KhandekarKMS13,poster
Enhanced IPCGAN-Alexnet model for new face image generating on age target.,2022.0,14,Databases|Computer Architecture|MLOps|Indexing|Computer Science|Mathematics for Computer Science|Information Systems|Data structures & Algorithms|Hardware|Databases|Machine Learning|Data Modeling,Enhanced IPCGAN-Alexnet model for new face image generating on age target.,journals/jksucis/PranotoHWB22,full paper
A workflow management system to feed digital libraries: proposal and case study.,2016.0,19,Databases|MLOps|Data Processing|Languages & Compilers|Operating Systems|Distributed Systems|Data structures & Algorithms|Hardware|Data Science|Databases|Data Modeling,A workflow management system to feed digital libraries: proposal and case study.,journals/mta/PlacesFLPS16,short paper
Nonrigid medical image registration with locally linear reconstruction.,2014.0,16,Databases|Computer Architecture|Languages & Compilers|Data Processing|Indexing|Distributed Systems|Computer Science|Data structures & Algorithms|Hardware|Data Science|Machine Learning|Data Modeling,Nonrigid medical image registration with locally linear reconstruction.,journals/ijon/WangP14,short paper
Local β compactness as fuzzy predicates defined in Łukasiewicz logic.,2017.0,25,Databases|Computer Architecture|MLOps|Data Processing|Indexing|Big Data|Mathematics for Computer Science|Information Systems|Data structures & Algorithms|Hardware|Data Science|Databases,Local β compactness as fuzzy predicates defined in Łukasiewicz logic.,journals/jifs/SayedK17,poster
Weblogging: A study of social computing and its impact on organizations.,2008.0,27,Databases|Indexing|Distributed Systems|Mathematics for Computer Science|Data structures & Algorithms|Data Science|Databases|Machine Learning|Data Modeling,Weblogging: A study of social computing and its impact on organizations.,journals/dss/IpW08,full paper
Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.,2020.0,23,Databases|MLOps|Data Processing|Computer Networking|Operating Systems|Indexing|Big Data|Distributed Systems|Mathematics for Computer Science|Information Systems|Data Science|Databases|Machine Learning,Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.,journals/monet/0005G0N0GYL20,demo paper
A WWW Information Seeking Process Model.,2003.0,17,Computer Architecture|MLOps|Data Processing|Languages & Compilers|Big Data|Distributed Systems|Computer Science|Mathematics for Computer Science|Data structures & Algorithms|Data Science|Databases|Machine Learning|Data Modeling,A WWW Information Seeking Process Model.,journals/ets/LoeberC03,poster
XV. Jean Paul (1763-1825).,2006.0,16,MLOps|Operating Systems|Indexing|Big Data|Distributed Systems|Information Systems|Data structures & Algorithms|Hardware|Databases,XV. Jean Paul (1763-1825).,journals/glottometrics/Best06a,short paper
Low-latency service function chain migration in edge-core networks based on open Jackson networks.,2022.0,12,Databases|Computer Architecture|Data Processing|Operating Systems|Indexing|Computer Science|Mathematics for Computer Science|Hardware|Data Science|Databases,Low-latency service function chain migration in edge-core networks based on open Jackson networks.,journals/jsa/LiangCT22,demo paper
Szeged index of TUC,2009.0,16,Databases|Computer Architecture|Languages & Compilers|Operating Systems|Distributed Systems|Mathematics for Computer Science|Hardware|Data Science|Machine Learning|Data Modeling,Szeged index of TUC,journals/ejc/HeydariT09,short paper
