proceeding,article
94,Two-stage Robust Network Design with Exponential Scenarios.
52,Local β compactness as fuzzy predicates defined in Łukasiewicz logic.
53,A WWW Information Seeking Process Model.
95,XV. Jean Paul (1763-1825).
5,Leverage Point Identification Method for LAV-Based State Estimation.
100,Functional proteomic pattern identification under low dose ionizing radiation.
62,Developing Infographics to Facilitate HIV-Related Patient-Provider Communication in a Limited-Resource Setting.
90,An Energy-Efficient Train Control Framework for Smart Railway Transportation.
16,FCC's Broadband Quartet: A State-Federal Fugue or Feud?
71,Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing.
98,Editorial.
39,A knowledge based decision support system for computer performance management.
59,On Row-Cyclic Codes with Algebraic Structure.
96,Two-dimensional dot codes for product identification.
24,Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.
28,Design and Implementation of Web Services Middleware to Support Fair Non-Repudiable Interactions.
36,The role and problems of legal culture in the social security of the population of the Republic of Kazakhstan.
79,Consistency degrees of theories in some systems of propositional fuzzy logic.
45,Explorations into Virtual Architecture: A HIT Lab Gallery.
94,Investigating voice in action teams: a critical review.
66,Cognitive strategies observed during problem solving with LOGO.
63,Beat Tracking for Multiple Applications: A Multi-Agent System Architecture With State Recovery.
80,H
45,INTRODUCTION. Systèmes d'organisation des connaissances hétérogènes pour les applications documentaires.
85,Extending and interpreting Post's programme.
20,Architectures reconfigurable et faible consommation. Réalité ou prospective ?
55,Engagement in the course of programming in higher education through the use of gamification.
54,Determinants of IS Planning Comprehensiveness.
89,Bilateral vs. Paretic-Limb-Only Ankle Exoskeleton Assistance for Improving Hemiparetic Gait: A Case Series.
71,Lightweight Secure Message Delivery for E2E S2S Communication in the IoT-Cloud System.
20,Perceptual non-intrusive speech quality assessment using a self-organizing map.
60,When RSSI encounters deep learning: An area localization scheme for pervasive sensing systems.
50,FAC: A Functional APL Language.
31,Model predictive sliding mode control of six-phase induction motor using nine-switch converter.
46,Prometheus or Pandora: The Influence of Automation on Society.
23,Forgery localization in images based on joint statistics of image blocks with neighbouring blocks.
9,Compressed Decision Problems for Graph Products and Applications to (outer) Automorphism Groups.
25,On the Divergence and the Joshi Dependence Measure in Feature Selection.
89,Defense Strategy Against Load Redistribution Attacks on Power Systems Considering Insider Threats.
96,Environmental social governance management: a theoretical perspective for the role of disclosure in the supply chain.
30,A nonlinear state estimation framework for humanoid robots.
30,Trade-offs between drug toxicity and benefit in the multi-antibiotic resistance system underlie optimal growth of E. coli.
32,Substitutive Systems and a Finitary Version of Cobham's Theorem.
97,A statistical feature data mining framework for constructing scholars' career trajectories in academic data.
34,Optimization driven multi-hop network design and experimentation: the approach of the FP7 project OPNEX.
44,Exponential stability and solution bounds for systems with bounded nonlinearities.
33,Dual-Input Transformer: An End-to-End Model for Preoperative Assessment of Pathological Complete Response to Neoadjuvant Chemotherapy in Breast Cancer Ultrasonography.
74,A new rough cloud AHP method for risk evaluation of public-private partnership projects.
25,CAHR: A Contextually Adaptive Home-Based Rehabilitation Framework.
6,Parallelizing a finite element solver in computational hemodynamics.
70,DA-DRLS: Drift adaptive deep reinforcement learning based scheduling for IoT resource management.
43,Lattice pseudoeffect algebras as double residuated structures.
46,A tandem queueing model with coupled processors.
37,An efficient and scalable approach for mining subgraphs in a single large graph.
71,The Changing Library Environment.
17,Design Optimization of Redundantly Actuated Cable-Driven Parallel Robots for Automated Warehouse System.
8,Spinal alignment measurement in standing position using stereo-view roentgenography without positional calibration.
99,A survey of techniques for architecting SLC/MLC/TLC hybrid Flash memory-based SSDs.
99,Computationally efficient optimization models for preliminary distillation column design and separation energy targeting.
