journal,volume
IEEE Trans. Aerosp. Electron. Syst.,1
Int. J. Swarm Intell. Res.,2
IEEE Trans. Aerosp. Electron. Syst.,3
J. Netw. Comput. Appl.,4
Int. J. Pattern Recognit. Artif. Intell.,5
Astron. Comput.,6
Quantum Inf. Process.,7
Inf. Syst. Manag.,8
Int. J. Pattern Recognit. Artif. Intell.,9
IEEE Trans. Biomed. Eng.,10
IEEE Trans. Image Process.,11
Int. J. Cloud Appl. Comput.,12
Int. J. Comput. Math. Comput. Syst. Theory,13
IEEE Trans. Neural Networks Learn. Syst.,14
Astron. Comput.,15
J. Simulation,16
J. Simulation,17
Int. J. Comput. Math. Comput. Syst. Theory,18
J. Simulation,19
Int. J. Comput. Math. Comput. Syst. Theory,20
Int. J. Cloud Appl. Comput.,21
AI Mag.,22
IEEE Pervasive Comput.,23
IEEE Pervasive Comput.,24
Signal Process.,25
Int. J. Pattern Recognit. Artif. Intell.,26
Astron. Comput.,27
Signal Process.,28
AI Mag.,29
IEEE Trans. Neural Networks Learn. Syst.,30
Int. J. Cloud Appl. Comput.,31
IEEE Trans. Image Process.,32
Neural Process. Lett.,33
Inf. Syst. Manag.,34
J. Netw. Comput. Appl.,35
Int. J. Comput. Math. Comput. Syst. Theory,36
J. Netw. Comput. Appl.,37
AI Mag.,38
IEEE Trans. Biomed. Eng.,39
IEEE Trans. Aerosp. Electron. Syst.,40
IEEE Trans. Aerosp. Electron. Syst.,41
Inf. Syst. Manag.,42
J. King Saud Univ. Comput. Inf. Sci.,43
Neural Process. Lett.,44
Inf. Syst. Manag.,45
AI Mag.,46
IEEE Trans. Aerosp. Electron. Syst.,47
Int. J. Pattern Recognit. Artif. Intell.,48
Int. J. Pattern Recognit. Artif. Intell.,49
IEEE Trans. Aerosp. Electron. Syst.,50
Int. J. Comput. Math. Comput. Syst. Theory,51
Inf. Syst. Manag.,52
Int. J. Pattern Recognit. Artif. Intell.,53
Int. J. Comput. Math. Comput. Syst. Theory,54
Int. J. Pattern Recognit. Artif. Intell.,55
Astron. Comput.,56
J. King Saud Univ. Comput. Inf. Sci.,57
J. King Saud Univ. Comput. Inf. Sci.,58
Quantum Inf. Process.,59
Quantum Inf. Process.,60
Inf. Syst. Manag.,61
Int. J. Cloud Appl. Comput.,62
Int. J. Comput. Math. Comput. Syst. Theory,63
J. Commun. Networks,64
Astron. Comput.,65
Inf. Syst. Manag.,66
IEEE Trans. Aerosp. Electron. Syst.,67
IEEE Trans. Neural Networks Learn. Syst.,68
J. Commun. Networks,69
J. Commun. Networks,70
IEEE Trans. Aerosp. Electron. Syst.,71
IEEE Trans. Aerosp. Electron. Syst.,72
IEEE Trans. Image Process.,73
Quantum Inf. Process.,74
IEEE Trans. Neural Networks Learn. Syst.,75
J. Simulation,76
Quantum Inf. Process.,77
Inf. Syst. Manag.,78
IEEE Trans. Image Process.,79
Int. J. Cloud Appl. Comput.,80
IEEE Trans. Biomed. Eng.,81
AI Mag.,82
J. Simulation,83
Autom. Control. Comput. Sci.,84
J. Simulation,85
IEEE Pervasive Comput.,86
Int. J. Comput. Math. Comput. Syst. Theory,87
Int. J. Pattern Recognit. Artif. Intell.,88
J. Netw. Comput. Appl.,89
Astron. Comput.,90
IEEE Trans. Image Process.,91
Quantum Inf. Process.,92
Astron. Comput.,93
Quantum Inf. Process.,94
Int. J. Cloud Appl. Comput.,95
IEEE Pervasive Comput.,96
Inf. Syst. Manag.,97
IEEE Trans. Biomed. Eng.,98
Quantum Inf. Process.,99
J. Simulation,100
