name,area,type
Two-stage Robust Network Design with Exponential Scenarios.,Computer Architecture,paper
Two-stage Robust Network Design with Exponential Scenarios.,MLOps,paper
Two-stage Robust Network Design with Exponential Scenarios.,Languages & Compilers,paper
Two-stage Robust Network Design with Exponential Scenarios.,Operating Systems,paper
Two-stage Robust Network Design with Exponential Scenarios.,Indexing,paper
Two-stage Robust Network Design with Exponential Scenarios.,Big Data,paper
Two-stage Robust Network Design with Exponential Scenarios.,Mathematics for Computer Science,paper
Two-stage Robust Network Design with Exponential Scenarios.,Hardware,paper
Two-stage Robust Network Design with Exponential Scenarios.,Data Science,paper
Two-stage Robust Network Design with Exponential Scenarios.,Databases,paper
Two-stage Robust Network Design with Exponential Scenarios.,Machine Learning,paper
Two-stage Robust Network Design with Exponential Scenarios.,Data Modeling,paper
Enhanced IPCGAN-Alexnet model for new face image generating on age target.,Data Management,paper
Enhanced IPCGAN-Alexnet model for new face image generating on age target.,Computer Architecture,paper
Enhanced IPCGAN-Alexnet model for new face image generating on age target.,MLOps,paper
Enhanced IPCGAN-Alexnet model for new face image generating on age target.,Indexing,paper
Enhanced IPCGAN-Alexnet model for new face image generating on age target.,Computer Science,paper
Enhanced IPCGAN-Alexnet model for new face image generating on age target.,Mathematics for Computer Science,paper
Enhanced IPCGAN-Alexnet model for new face image generating on age target.,Information Systems,paper
Enhanced IPCGAN-Alexnet model for new face image generating on age target.,Data structures & Algorithms,paper
Enhanced IPCGAN-Alexnet model for new face image generating on age target.,Hardware,paper
Enhanced IPCGAN-Alexnet model for new face image generating on age target.,Databases,paper
Enhanced IPCGAN-Alexnet model for new face image generating on age target.,Machine Learning,paper
Enhanced IPCGAN-Alexnet model for new face image generating on age target.,Data Modeling,paper
A workflow management system to feed digital libraries: proposal and case study.,Data Management,paper
A workflow management system to feed digital libraries: proposal and case study.,MLOps,paper
A workflow management system to feed digital libraries: proposal and case study.,Data Processing,paper
A workflow management system to feed digital libraries: proposal and case study.,Languages & Compilers,paper
A workflow management system to feed digital libraries: proposal and case study.,Operating Systems,paper
A workflow management system to feed digital libraries: proposal and case study.,Distributed Systems,paper
A workflow management system to feed digital libraries: proposal and case study.,Data structures & Algorithms,paper
A workflow management system to feed digital libraries: proposal and case study.,Hardware,paper
A workflow management system to feed digital libraries: proposal and case study.,Data Science,paper
A workflow management system to feed digital libraries: proposal and case study.,Databases,paper
A workflow management system to feed digital libraries: proposal and case study.,Data Modeling,paper
Nonrigid medical image registration with locally linear reconstruction.,Data Management,paper
Nonrigid medical image registration with locally linear reconstruction.,Computer Architecture,paper
Nonrigid medical image registration with locally linear reconstruction.,Languages & Compilers,paper
Nonrigid medical image registration with locally linear reconstruction.,Data Processing,paper
Nonrigid medical image registration with locally linear reconstruction.,Indexing,paper
Nonrigid medical image registration with locally linear reconstruction.,Distributed Systems,paper
Nonrigid medical image registration with locally linear reconstruction.,Computer Science,paper
Nonrigid medical image registration with locally linear reconstruction.,Data structures & Algorithms,paper
Nonrigid medical image registration with locally linear reconstruction.,Hardware,paper
Nonrigid medical image registration with locally linear reconstruction.,Data Science,paper
Nonrigid medical image registration with locally linear reconstruction.,Machine Learning,paper
Nonrigid medical image registration with locally linear reconstruction.,Data Modeling,paper
Local β compactness as fuzzy predicates defined in Łukasiewicz logic.,Data Management,paper
Local β compactness as fuzzy predicates defined in Łukasiewicz logic.,Computer Architecture,paper
Local β compactness as fuzzy predicates defined in Łukasiewicz logic.,MLOps,paper
Local β compactness as fuzzy predicates defined in Łukasiewicz logic.,Data Processing,paper
Local β compactness as fuzzy predicates defined in Łukasiewicz logic.,Indexing,paper
Local β compactness as fuzzy predicates defined in Łukasiewicz logic.,Big Data,paper
Local β compactness as fuzzy predicates defined in Łukasiewicz logic.,Mathematics for Computer Science,paper
Local β compactness as fuzzy predicates defined in Łukasiewicz logic.,Information Systems,paper
Local β compactness as fuzzy predicates defined in Łukasiewicz logic.,Data structures & Algorithms,paper
Local β compactness as fuzzy predicates defined in Łukasiewicz logic.,Hardware,paper
Local β compactness as fuzzy predicates defined in Łukasiewicz logic.,Data Science,paper
Local β compactness as fuzzy predicates defined in Łukasiewicz logic.,Databases,paper
Weblogging: A study of social computing and its impact on organizations.,Data Management,paper
Weblogging: A study of social computing and its impact on organizations.,Indexing,paper
Weblogging: A study of social computing and its impact on organizations.,Distributed Systems,paper
Weblogging: A study of social computing and its impact on organizations.,Mathematics for Computer Science,paper
Weblogging: A study of social computing and its impact on organizations.,Data structures & Algorithms,paper
Weblogging: A study of social computing and its impact on organizations.,Data Science,paper
Weblogging: A study of social computing and its impact on organizations.,Databases,paper
Weblogging: A study of social computing and its impact on organizations.,Machine Learning,paper
Weblogging: A study of social computing and its impact on organizations.,Data Modeling,paper
Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.,Data Management,paper
Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.,MLOps,paper
Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.,Data Processing,paper
Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.,Computer Networking,paper
Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.,Operating Systems,paper
Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.,Indexing,paper
Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.,Big Data,paper
Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.,Distributed Systems,paper
Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.,Mathematics for Computer Science,paper
Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.,Information Systems,paper
Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.,Data Science,paper
Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.,Databases,paper
Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.,Machine Learning,paper
A WWW Information Seeking Process Model.,Computer Architecture,paper
A WWW Information Seeking Process Model.,MLOps,paper
A WWW Information Seeking Process Model.,Data Processing,paper
A WWW Information Seeking Process Model.,Languages & Compilers,paper
A WWW Information Seeking Process Model.,Big Data,paper
A WWW Information Seeking Process Model.,Distributed Systems,paper
A WWW Information Seeking Process Model.,Computer Science,paper
A WWW Information Seeking Process Model.,Mathematics for Computer Science,paper
A WWW Information Seeking Process Model.,Data structures & Algorithms,paper
A WWW Information Seeking Process Model.,Data Science,paper
A WWW Information Seeking Process Model.,Databases,paper
A WWW Information Seeking Process Model.,Machine Learning,paper
A WWW Information Seeking Process Model.,Data Modeling,paper
XV. Jean Paul (1763-1825).,MLOps,paper
XV. Jean Paul (1763-1825).,Operating Systems,paper
XV. Jean Paul (1763-1825).,Indexing,paper
XV. Jean Paul (1763-1825).,Big Data,paper
XV. Jean Paul (1763-1825).,Distributed Systems,paper
XV. Jean Paul (1763-1825).,Information Systems,paper
XV. Jean Paul (1763-1825).,Data structures & Algorithms,paper
XV. Jean Paul (1763-1825).,Hardware,paper
XV. Jean Paul (1763-1825).,Databases,paper
Low-latency service function chain migration in edge-core networks based on open Jackson networks.,Data Management,paper
Low-latency service function chain migration in edge-core networks based on open Jackson networks.,Computer Architecture,paper
Low-latency service function chain migration in edge-core networks based on open Jackson networks.,Data Processing,paper
Low-latency service function chain migration in edge-core networks based on open Jackson networks.,Operating Systems,paper
Low-latency service function chain migration in edge-core networks based on open Jackson networks.,Indexing,paper
Low-latency service function chain migration in edge-core networks based on open Jackson networks.,Computer Science,paper
Low-latency service function chain migration in edge-core networks based on open Jackson networks.,Mathematics for Computer Science,paper
Low-latency service function chain migration in edge-core networks based on open Jackson networks.,Hardware,paper
Low-latency service function chain migration in edge-core networks based on open Jackson networks.,Data Science,paper
Low-latency service function chain migration in edge-core networks based on open Jackson networks.,Databases,paper
Szeged index of TUC,Data Management,paper
Szeged index of TUC,Computer Architecture,paper
Szeged index of TUC,Languages & Compilers,paper
Szeged index of TUC,Operating Systems,paper
Szeged index of TUC,Distributed Systems,paper
Szeged index of TUC,Mathematics for Computer Science,paper
Szeged index of TUC,Hardware,paper
Szeged index of TUC,Data Science,paper
Szeged index of TUC,Machine Learning,paper
Szeged index of TUC,Data Modeling,paper
An Approach to Identify Optic Disc in Human Retinal Images Using Ant Colony Optimization Method.,Data Management,paper
An Approach to Identify Optic Disc in Human Retinal Images Using Ant Colony Optimization Method.,Computer Networking,paper
An Approach to Identify Optic Disc in Human Retinal Images Using Ant Colony Optimization Method.,MLOps,paper
An Approach to Identify Optic Disc in Human Retinal Images Using Ant Colony Optimization Method.,Operating Systems,paper
An Approach to Identify Optic Disc in Human Retinal Images Using Ant Colony Optimization Method.,Big Data,paper
An Approach to Identify Optic Disc in Human Retinal Images Using Ant Colony Optimization Method.,Data Science,paper
Facial asymmetry-based feature extraction for different applications: a review complemented by new advances.,Computer Architecture,paper
Facial asymmetry-based feature extraction for different applications: a review complemented by new advances.,MLOps,paper
Facial asymmetry-based feature extraction for different applications: a review complemented by new advances.,Computer Networking,paper
Facial asymmetry-based feature extraction for different applications: a review complemented by new advances.,Data Processing,paper
Facial asymmetry-based feature extraction for different applications: a review complemented by new advances.,Operating Systems,paper
Facial asymmetry-based feature extraction for different applications: a review complemented by new advances.,Indexing,paper
Topic-based label distribution learning to exploit label ambiguity for scene classification.,Data Management,paper
Topic-based label distribution learning to exploit label ambiguity for scene classification.,Computer Architecture,paper
Topic-based label distribution learning to exploit label ambiguity for scene classification.,Computer Networking,paper
Topic-based label distribution learning to exploit label ambiguity for scene classification.,Data Processing,paper
Topic-based label distribution learning to exploit label ambiguity for scene classification.,Indexing,paper
Topic-based label distribution learning to exploit label ambiguity for scene classification.,Big Data,paper
Topic-based label distribution learning to exploit label ambiguity for scene classification.,Distributed Systems,paper
Topic-based label distribution learning to exploit label ambiguity for scene classification.,Mathematics for Computer Science,paper
Topic-based label distribution learning to exploit label ambiguity for scene classification.,Information Systems,paper
Topic-based label distribution learning to exploit label ambiguity for scene classification.,Hardware,paper
Topic-based label distribution learning to exploit label ambiguity for scene classification.,Data Science,paper
"One-Tape, Off-Line Turing Machine Computations",Computer Networking,paper
"One-Tape, Off-Line Turing Machine Computations",MLOps,paper
"One-Tape, Off-Line Turing Machine Computations",Operating Systems,paper
"One-Tape, Off-Line Turing Machine Computations",Indexing,paper
"One-Tape, Off-Line Turing Machine Computations",Big Data,paper
"One-Tape, Off-Line Turing Machine Computations",Mathematics for Computer Science,paper
"One-Tape, Off-Line Turing Machine Computations",Information Systems,paper
"One-Tape, Off-Line Turing Machine Computations",Data structures & Algorithms,paper
"One-Tape, Off-Line Turing Machine Computations",Hardware,paper
"One-Tape, Off-Line Turing Machine Computations",Data Science,paper
Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.,Data Management,paper
Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.,Computer Architecture,paper
Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.,Computer Networking,paper
Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.,Computer Science,paper
Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.,Mathematics for Computer Science,paper
Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.,Data Science,paper
