reviewer,article
E. A. Mary Anita,Two-stage Robust Network Design with Exponential Scenarios.
Chaojiang Wu,Two-stage Robust Network Design with Exponential Scenarios.
Lianjun Xiao,Two-stage Robust Network Design with Exponential Scenarios.
David Dagan Feng,Enhanced IPCGAN-Alexnet model for new face image generating on age target.
Mazen O. Hasna,Enhanced IPCGAN-Alexnet model for new face image generating on age target.
Karl-Heinz Best,Enhanced IPCGAN-Alexnet model for new face image generating on age target.
Anna Maria Paganoni,A workflow management system to feed digital libraries: proposal and case study.
Qiqi Wang,A workflow management system to feed digital libraries: proposal and case study.
Amaro de Sousa,A workflow management system to feed digital libraries: proposal and case study.
N. C. Simpson,Nonrigid medical image registration with locally linear reconstruction.
Le Deng,Nonrigid medical image registration with locally linear reconstruction.
David Alan Grier,Nonrigid medical image registration with locally linear reconstruction.
Bita Alipasandi,Local β compactness as fuzzy predicates defined in Łukasiewicz logic.
Aida Pliuskeviciene,Local β compactness as fuzzy predicates defined in Łukasiewicz logic.
Ahmed M. Mohamed,Local β compactness as fuzzy predicates defined in Łukasiewicz logic.
Heike Siebert,Weblogging: A study of social computing and its impact on organizations.
Arthur J. Davidson,Weblogging: A study of social computing and its impact on organizations.
Daniela Guaiana,Weblogging: A study of social computing and its impact on organizations.
Duyan Bi,Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.
Huiqin Xie,Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.
Qiqi Wang,Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.
Louise A. Mawn,A WWW Information Seeking Process Model.
Qiqi Wang,A WWW Information Seeking Process Model.
David Dagan Feng,A WWW Information Seeking Process Model.
Vera Tilson,XV. Jean Paul (1763-1825).
David T. Wong,XV. Jean Paul (1763-1825).
Arvind Ramanathan,XV. Jean Paul (1763-1825).
Oliver Marschollek,Low-latency service function chain migration in edge-core networks based on open Jackson networks.
Amir Bozorgzadeh,Low-latency service function chain migration in edge-core networks based on open Jackson networks.
Theodosios Pavlidis,Low-latency service function chain migration in edge-core networks based on open Jackson networks.
Bita Alipasandi,Szeged index of TUC
Danni Zhu,Szeged index of TUC
Mazen O. Hasna,Szeged index of TUC
Aku Riihelä,An Approach to Identify Optic Disc in Human Retinal Images Using Ant Colony Optimization Method.
Robert Finger,An Approach to Identify Optic Disc in Human Retinal Images Using Ant Colony Optimization Method.
Huiqin Xie,An Approach to Identify Optic Disc in Human Retinal Images Using Ant Colony Optimization Method.
Qiqi Wang,Facial asymmetry-based feature extraction for different applications: a review complemented by new advances.
Daniel Troy,Facial asymmetry-based feature extraction for different applications: a review complemented by new advances.
Dinesh Manocha,Facial asymmetry-based feature extraction for different applications: a review complemented by new advances.
Adriano Meta,Topic-based label distribution learning to exploit label ambiguity for scene classification.
Amir Shmuel,Topic-based label distribution learning to exploit label ambiguity for scene classification.
Constant Solimando,Topic-based label distribution learning to exploit label ambiguity for scene classification.
Jiaqi Zhang 0001,"One-Tape, Off-Line Turing Machine Computations"
Arvind Ramanathan,"One-Tape, Off-Line Turing Machine Computations"
Roy Edgar Hansen,"One-Tape, Off-Line Turing Machine Computations"
Dan Suciu,Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.
Fabian Rothmaier,Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.
Astrid Tannert,Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.
Hen-Wai Tsao,Professional networking with emailing groups: A case of Pakistan Library Automation Group.
Louise A. Mawn,Professional networking with emailing groups: A case of Pakistan Library Automation Group.
Amaro de Sousa,Professional networking with emailing groups: A case of Pakistan Library Automation Group.
Naohisa Komatsu,Leverage Point Identification Method for LAV-Based State Estimation.
Alper Korkmaz,Leverage Point Identification Method for LAV-Based State Estimation.
Guangyuan Pan,Leverage Point Identification Method for LAV-Based State Estimation.
Lukasz Maksymiuk,Singular value decomposition of time-varying matrices.
Arun Mittal,Singular value decomposition of time-varying matrices.
Amir Shmuel,Singular value decomposition of time-varying matrices.
Jan Camenisch,Functional proteomic pattern identification under low dose ionizing radiation.
Arthur J. Davidson,Functional proteomic pattern identification under low dose ionizing radiation.
Moulay A. Barkatou,Functional proteomic pattern identification under low dose ionizing radiation.
David Dagan Feng,Developing Infographics to Facilitate HIV-Related Patient-Provider Communication in a Limited-Resource Setting.
Chi-Sang Jung,Developing Infographics to Facilitate HIV-Related Patient-Provider Communication in a Limited-Resource Setting.
Keecheon Kim,Developing Infographics to Facilitate HIV-Related Patient-Provider Communication in a Limited-Resource Setting.
Cynthia Jane Solomon,An Energy-Efficient Train Control Framework for Smart Railway Transportation.
Heike Siebert,An Energy-Efficient Train Control Framework for Smart Railway Transportation.
Theodore Hailperin,An Energy-Efficient Train Control Framework for Smart Railway Transportation.
Hady Pranoto,eHR Cloud Transformation: Implementation Approach and Success Factors.
Akira Suzuki,eHR Cloud Transformation: Implementation Approach and Success Factors.
Anita Schöbel,eHR Cloud Transformation: Implementation Approach and Success Factors.
Bita Alipasandi,FCC's Broadband Quartet: A State-Federal Fugue or Feud?
Diogo Poças,FCC's Broadband Quartet: A State-Federal Fugue or Feud?
Erik Meineche Schmidt,FCC's Broadband Quartet: A State-Federal Fugue or Feud?
Anton Schiela,Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing.
Anita Schöbel,Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing.
Mazen O. Hasna,Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing.
Hermano Frid,The Effects of Network Externality and Flow Experience on Mobile SNS Continuance.
Mazen O. Hasna,The Effects of Network Externality and Flow Experience on Mobile SNS Continuance.
Kanad Chakraborty,The Effects of Network Externality and Flow Experience on Mobile SNS Continuance.
Anna Maria Paganoni,Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.
Babak Farzad,Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.
Andrew J. Hinchley,Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.
Daniel Troy,PRALINE
Aku Riihelä,PRALINE
Alper Korkmaz,PRALINE
Wirt Atmar,Editorial.
Amir Shmuel,Editorial.
Jan Camenisch,Editorial.
David Alan Grier,Reliable Estimation for Health Index of Transformer Oil Based on Novel Combined Predictive Maintenance Techniques.
Hady Pranoto,Reliable Estimation for Health Index of Transformer Oil Based on Novel Combined Predictive Maintenance Techniques.
Louise A. Mawn,Reliable Estimation for Health Index of Transformer Oil Based on Novel Combined Predictive Maintenance Techniques.
Le Deng,A knowledge based decision support system for computer performance management.
Fabian Rothmaier,A knowledge based decision support system for computer performance management.
Lianjun Xiao,A knowledge based decision support system for computer performance management.
Hermano Frid,Convergence of the Least Squares Shadowing Method for Computing Derivative of Ergodic Averages.
Lianjun Xiao,Convergence of the Least Squares Shadowing Method for Computing Derivative of Ergodic Averages.
Aku Riihelä,Convergence of the Least Squares Shadowing Method for Computing Derivative of Ergodic Averages.
Fabian Rothmaier,An interval statistical procedure for use in validation of simulation models.
Arvind Ramanathan,An interval statistical procedure for use in validation of simulation models.
Amaro de Sousa,An interval statistical procedure for use in validation of simulation models.
N. C. Simpson,Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.
