reviewer,article,content,sugestion,decision
E. A. Mary Anita,Two-stage Robust Network Design with Exponential Scenarios.,content review,some sugestion,accepted
Chaojiang Wu,Two-stage Robust Network Design with Exponential Scenarios.,content review,some sugestion,accepted
Lianjun Xiao,Two-stage Robust Network Design with Exponential Scenarios.,content review,some sugestion,not accepted
David Dagan Feng,Enhanced IPCGAN-Alexnet model for new face image generating on age target.,content review,some sugestion,accepted
Mazen O. Hasna,Enhanced IPCGAN-Alexnet model for new face image generating on age target.,content review,some sugestion,accepted
Karl-Heinz Best,Enhanced IPCGAN-Alexnet model for new face image generating on age target.,content review,some sugestion,not accepted
Anna Maria Paganoni,A workflow management system to feed digital libraries: proposal and case study.,content review,some sugestion,accepted
Qiqi Wang,A workflow management system to feed digital libraries: proposal and case study.,content review,some sugestion,accepted
Amaro de Sousa,A workflow management system to feed digital libraries: proposal and case study.,content review,some sugestion,not accepted
N. C. Simpson,Nonrigid medical image registration with locally linear reconstruction.,content review,some sugestion,accepted
Le Deng,Nonrigid medical image registration with locally linear reconstruction.,content review,some sugestion,accepted
David Alan Grier,Nonrigid medical image registration with locally linear reconstruction.,content review,some sugestion,not accepted
Bita Alipasandi,Local β compactness as fuzzy predicates defined in Łukasiewicz logic.,content review,some sugestion,accepted
Aida Pliuskeviciene,Local β compactness as fuzzy predicates defined in Łukasiewicz logic.,content review,some sugestion,accepted
Ahmed M. Mohamed,Local β compactness as fuzzy predicates defined in Łukasiewicz logic.,content review,some sugestion,not accepted
Heike Siebert,Weblogging: A study of social computing and its impact on organizations.,content review,some sugestion,accepted
Arthur J. Davidson,Weblogging: A study of social computing and its impact on organizations.,content review,some sugestion,accepted
Daniela Guaiana,Weblogging: A study of social computing and its impact on organizations.,content review,some sugestion,not accepted
Duyan Bi,Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.,content review,some sugestion,accepted
Huiqin Xie,Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.,content review,some sugestion,accepted
Qiqi Wang,Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.,content review,some sugestion,not accepted
Louise A. Mawn,A WWW Information Seeking Process Model.,content review,some sugestion,accepted
Qiqi Wang,A WWW Information Seeking Process Model.,content review,some sugestion,accepted
David Dagan Feng,A WWW Information Seeking Process Model.,content review,some sugestion,not accepted
Vera Tilson,XV. Jean Paul (1763-1825).,content review,some sugestion,accepted
David T. Wong,XV. Jean Paul (1763-1825).,content review,some sugestion,accepted
Arvind Ramanathan,XV. Jean Paul (1763-1825).,content review,some sugestion,not accepted
Oliver Marschollek,Low-latency service function chain migration in edge-core networks based on open Jackson networks.,content review,some sugestion,accepted
Amir Bozorgzadeh,Low-latency service function chain migration in edge-core networks based on open Jackson networks.,content review,some sugestion,accepted
Theodosios Pavlidis,Low-latency service function chain migration in edge-core networks based on open Jackson networks.,content review,some sugestion,not accepted
Bita Alipasandi,Szeged index of TUC,content review,some sugestion,accepted
Danni Zhu,Szeged index of TUC,content review,some sugestion,accepted
Mazen O. Hasna,Szeged index of TUC,content review,some sugestion,not accepted
Aku Riihelä,An Approach to Identify Optic Disc in Human Retinal Images Using Ant Colony Optimization Method.,content review,some sugestion,accepted
Robert Finger,An Approach to Identify Optic Disc in Human Retinal Images Using Ant Colony Optimization Method.,content review,some sugestion,accepted
Huiqin Xie,An Approach to Identify Optic Disc in Human Retinal Images Using Ant Colony Optimization Method.,content review,some sugestion,not accepted
Qiqi Wang,Facial asymmetry-based feature extraction for different applications: a review complemented by new advances.,content review,some sugestion,accepted
Daniel Troy,Facial asymmetry-based feature extraction for different applications: a review complemented by new advances.,content review,some sugestion,accepted
Dinesh Manocha,Facial asymmetry-based feature extraction for different applications: a review complemented by new advances.,content review,some sugestion,not accepted
Adriano Meta,Topic-based label distribution learning to exploit label ambiguity for scene classification.,content review,some sugestion,accepted
Amir Shmuel,Topic-based label distribution learning to exploit label ambiguity for scene classification.,content review,some sugestion,accepted
Constant Solimando,Topic-based label distribution learning to exploit label ambiguity for scene classification.,content review,some sugestion,not accepted
Jiaqi Zhang 0001,"One-Tape, Off-Line Turing Machine Computations",content review,some sugestion,accepted
Arvind Ramanathan,"One-Tape, Off-Line Turing Machine Computations",content review,some sugestion,accepted
Roy Edgar Hansen,"One-Tape, Off-Line Turing Machine Computations",content review,some sugestion,not accepted
Dan Suciu,Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.,content review,some sugestion,accepted
Fabian Rothmaier,Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.,content review,some sugestion,accepted
Astrid Tannert,Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.,content review,some sugestion,not accepted
Hen-Wai Tsao,Professional networking with emailing groups: A case of Pakistan Library Automation Group.,content review,some sugestion,accepted
Louise A. Mawn,Professional networking with emailing groups: A case of Pakistan Library Automation Group.,content review,some sugestion,accepted
Amaro de Sousa,Professional networking with emailing groups: A case of Pakistan Library Automation Group.,content review,some sugestion,not accepted
Naohisa Komatsu,Leverage Point Identification Method for LAV-Based State Estimation.,content review,some sugestion,accepted
Alper Korkmaz,Leverage Point Identification Method for LAV-Based State Estimation.,content review,some sugestion,accepted
Guangyuan Pan,Leverage Point Identification Method for LAV-Based State Estimation.,content review,some sugestion,not accepted
Lukasz Maksymiuk,Singular value decomposition of time-varying matrices.,content review,some sugestion,accepted
Arun Mittal,Singular value decomposition of time-varying matrices.,content review,some sugestion,accepted
Amir Shmuel,Singular value decomposition of time-varying matrices.,content review,some sugestion,not accepted
Jan Camenisch,Functional proteomic pattern identification under low dose ionizing radiation.,content review,some sugestion,accepted
Arthur J. Davidson,Functional proteomic pattern identification under low dose ionizing radiation.,content review,some sugestion,accepted
Moulay A. Barkatou,Functional proteomic pattern identification under low dose ionizing radiation.,content review,some sugestion,not accepted
David Dagan Feng,Developing Infographics to Facilitate HIV-Related Patient-Provider Communication in a Limited-Resource Setting.,content review,some sugestion,accepted
Chi-Sang Jung,Developing Infographics to Facilitate HIV-Related Patient-Provider Communication in a Limited-Resource Setting.,content review,some sugestion,accepted
Keecheon Kim,Developing Infographics to Facilitate HIV-Related Patient-Provider Communication in a Limited-Resource Setting.,content review,some sugestion,not accepted
Cynthia Jane Solomon,An Energy-Efficient Train Control Framework for Smart Railway Transportation.,content review,some sugestion,accepted
